article_id,title,content,home_team,away_team,winner,date,has_ceremony
1,Blue Lions Defeats Red Dragons 3-2 in Exciting Match,"In a thrilling game on 2025-01-05, Blue Lions emerged victorious against Red Dragons with a score of 3-2. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. Fans enjoyed an amazing pre-game ceremony. This victory puts Blue Lions in a strong position in the league standings, while Red Dragons will need to regroup before their next match.",Blue Lions,Red Dragons,Blue Lions,2025-01-05,True
2,Yellow Hornets Defeats Purple Knights 5-3 in Exciting Match,"In a thrilling game on 2025-01-26, Yellow Hornets emerged victorious against Purple Knights with a score of 5-3. The Yellow Hornets team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Yellow Hornets in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Yellow Hornets,Yellow Hornets,2025-01-26,False
3,Red Dragons Defeats Green Giants 3-2 in Exciting Match,"In a thrilling game on 2024-09-15, Red Dragons emerged victorious against Green Giants with a score of 3-2. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. Fans enjoyed an amazing pre-game ceremony. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Green Giants,Red Dragons,Red Dragons,2024-09-15,True
4,Red Dragons Defeats Green Giants 4-1 in Exciting Match,"In a thrilling game on 2025-04-28, Red Dragons emerged victorious against Green Giants with a score of 4-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Red Dragons,Green Giants,Red Dragons,2025-04-28,False
5,Red Dragons Defeats Green Giants 1-0 in Exciting Match,"In a thrilling game on 2024-09-21, Red Dragons emerged victorious against Green Giants with a score of 1-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Red Dragons,Green Giants,Red Dragons,2024-09-21,False
6,Blue Lions Defeats Green Giants 3-1 in Exciting Match,"In a thrilling game on 2024-10-09, Blue Lions emerged victorious against Green Giants with a score of 3-1. The Blue Lions team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Blue Lions in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Blue Lions,Green Giants,Blue Lions,2024-10-09,False
7,Red Dragons Defeats Green Giants 3-1 in Exciting Match,"In a thrilling game on 2024-09-03, Red Dragons emerged victorious against Green Giants with a score of 3-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Red Dragons,Green Giants,Red Dragons,2024-09-03,False
8,Red Dragons Defeats Purple Knights 1-0 in Exciting Match,"In a thrilling game on 2024-09-01, Red Dragons emerged victorious against Purple Knights with a score of 1-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Purple Knights will need to regroup before their next match.",Purple Knights,Red Dragons,Red Dragons,2024-09-01,False
9,Red Dragons Defeats Yellow Hornets 4-1 in Exciting Match,"In a thrilling game on 2024-12-23, Red Dragons emerged victorious against Yellow Hornets with a score of 4-1. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. This victory puts Red Dragons in a strong position in the league standings, while Yellow Hornets will need to regroup before their next match.",Yellow Hornets,Red Dragons,Red Dragons,2024-12-23,False
10,Red Dragons Defeats Green Giants 1-0 in Exciting Match,"In a thrilling game on 2024-09-14, Red Dragons emerged victorious against Green Giants with a score of 1-0. The Red Dragons team showed excellent form throughout the match, dominating possession and creating numerous scoring opportunities. A spectacular pre-game ceremony took place. This victory puts Red Dragons in a strong position in the league standings, while Green Giants will need to regroup before their next match.",Red Dragons,Green Giants,Red Dragons,2024-09-14,True
