context,question,answer
question,What is 92 + 72?,164
question,What is 34 + 83?,117
question,What is 74 + 100?,174
question,What is 1 + 56?,57
question,What is 29 + 31?,60
question,What is 29 + 76?,105
question,What is 46 + 44?,90
question,What is 100 + 52?,152
question,What is 73 + 41?,114
question,What is 22 + 53?,75
question,What is 37 + 91?,128
question,What is 86 + 73?,159
question,What is 11 + 55?,66
question,What is 51 + 51?,102
question,What is 96 + 13?,109
question,What is 29 + 97?,126
question,What is 21 + 66?,87
question,What is 27 + 51?,78
question,What is 24 + 40?,64
question,What is 46 + 1?,47
question,What is 80 + 30?,110
question,What is 37 + 19?,56
question,What is 90 + 32?,122
question,What is 70 + 38?,108
question,What is 51 + 12?,63
question,What is 83 + 72?,155
question,What is 92 + 5?,97
question,What is 68 + 89?,157
question,What is 11 + 28?,39
question,What is 45 + 22?,67
question,What is 67 + 92?,159
question,What is 13 + 51?,64
question,What is 0 + 13?,13
question,What is 28 + 31?,59
question,What is 52 + 26?,78
question,What is 75 + 98?,173
question,What is 47 + 31?,78
question,What is 84 + 32?,116
question,What is 20 + 14?,34
question,What is 43 + 25?,68
question,What is 99 + 44?,143
question,What is 19 + 55?,74
question,What is 40 + 17?,57
question,What is 2 + 27?,29
question,What is 4 + 43?,47
question,What is 63 + 53?,116
question,What is 86 + 68?,154
question,What is 20 + 81?,101
question,What is 54 + 59?,113
question,What is 84 + 99?,183
question,What is 38 + 88?,126
question,What is 51 + 22?,73
question,What is 90 + 74?,164
question,What is 44 + 64?,108
question,What is 24 + 49?,73
question,What is 44 + 62?,106
question,What is 89 + 16?,105
question,What is 25 + 53?,78
question,What is 71 + 14?,85
question,What is 0 + 96?,96
question,What is 99 + 77?,176
question,What is 74 + 21?,95
question,What is 26 + 39?,65
question,What is 40 + 64?,104
question,What is 21 + 89?,110
question,What is 71 + 20?,91
question,What is 88 + 19?,107
question,What is 23 + 22?,45
question,What is 18 + 60?,78
question,What is 1 + 96?,97
question,What is 82 + 16?,98
question,What is 60 + 86?,146
question,What is 7 + 65?,72
question,What is 63 + 44?,107
question,What is 2 + 4?,6
question,What is 93 + 48?,141
question,What is 42 + 61?,103
question,What is 13 + 45?,58
question,What is 46 + 98?,144
question,What is 55 + 13?,68
question,What is 96 + 46?,142
question,What is 19 + 75?,94
question,What is 73 + 38?,111
question,What is 95 + 48?,143
question,What is 59 + 30?,89
question,What is 66 + 18?,84
question,What is 93 + 70?,163
question,What is 70 + 26?,96
question,What is 56 + 66?,122
question,What is 47 + 3?,50
question,What is 73 + 75?,148
question,What is 62 + 64?,126
question,What is 61 + 32?,93
question,What is 51 + 20?,71
question,What is 61 + 31?,92
question,What is 36 + 62?,98
question,What is 89 + 63?,152
question,What is 21 + 27?,48
question,What is 86 + 24?,110
question,What is 60 + 77?,137
